198.13.33.123:443#JP_1 [20.14M]
92.113.124.137:8443#JP_2 [19.98M]
87.86.22.186:443#JP_3 [19.35M]
89.116.88.158:443#JP_4 [16.74M]
92.113.124.143:443#JP_5 [16.47M]
52.77.54.144:443#SG_1 [15.88M]
43.160.254.163:443#SG_2 [15.85M]
52.221.53.171:443#SG_3 [15.60M]
43.160.220.72:443#SG_4 [14.89M]
195.172.139.40:443#SG_5 [14.67M]
185.200.65.32:443#JP_6 [14.59M]
54.169.146.255:443#SG_6 [14.13M]
52.221.4.213:443#SG_7 [13.86M]
45.8.173.215:443#JP_7 [13.80M]
152.67.208.47:443#KR_1 [13.23M]
168.110.121.126:8443#KR_2 [13.13M]
108.61.163.117:443#JP_8 [13.12M]
47.131.189.221:443#SG_8 [12.76M]
152.69.229.110:443#KR_3 [12.26M]
