43.130.241.204:443#JP_1 [85.11ms]
64.83.39.176:443#JP_2 [87.91ms]
64.83.40.108:443#JP_3 [95.3ms]
43.167.9.109:443#JP_4 [13.61M]
45.77.131.33:8443#JP_5 [99.21ms]
34.104.218.57:443#JP_6 [14.94M]
43.167.224.16:443#JP_7 [15.72M]
45.77.130.6:443#JP_8 [102.92ms]
45.77.130.24:443#JP_9 [103.24ms]
45.77.180.114:443#JP_10 [103.55ms]
43.108.46.150:8443#KR_1 [86.06ms]
47.80.57.116:443#KR_2 [95.22ms]
152.67.198.36:443#KR_3 [16.88M]
152.67.208.47:443#KR_4 [13.15M]
168.110.107.218:443#KR_5 [153.57ms]
152.67.210.234:443#KR_6 [157.0ms]
168.110.121.126:8443#KR_7 [13.22M]
152.69.229.110:443#KR_8 [14.63M]
144.24.68.111:443#KR_9 [192.55ms]
168.107.40.4:8443#KR_10 [12.65M]
54.169.146.255:443#SG_1 [14.86M]
52.221.53.171:443#SG_2 [15.62M]
52.77.54.144:443#SG_3 [14.87M]
54.169.57.101:8443#SG_4 [16.2M]
54.255.175.251:8443#SG_5 [14.46M]
52.221.4.213:443#SG_6 [18.94M]
46.137.229.208:443#SG_7 [18.72M]
3.1.187.169:443#SG_8 [86.1ms]
52.77.72.146:443#SG_9 [19.26M]
18.138.34.221:443#SG_10 [113.45ms]
207.56.137.174:443#TW_1 [124.82ms]
43.213.230.249:443#TW_2 [148.61ms]
23.146.248.149:443#TW_3 [200.78ms]
130.94.36.232:443#TW_4 [315.06ms]
78.105.183.11:8443#TW_5 [316.83ms]
85.237.207.126:443#TW_6 [321.44ms]
188.253.6.249:443#TW_7 [348.67ms]
151.242.189.137:443#TW_8 [352.15ms]
142.249.60.51:443#TW_9 [376.78ms]
151.242.188.152:443#TW_10 [387.48ms]
